Scenario,Algorithm,Runtime (s),Distance,Visited Nodes,Start,Goal,Seed
empty,astar,0.0005185604095458984,5.146264369941973,11,"(12, 8, 8)","(10, 7, 4)",16
empty,astar,0.0005295276641845703,5.146264369941973,11,"(12, 8, 8)","(10, 7, 4)",16
empty,astar,0.0006732940673828125,5.146264369941973,11,"(12, 8, 8)","(10, 7, 4)",16
empty,astar,0.0005195140838623047,5.146264369941973,11,"(12, 8, 8)","(10, 7, 4)",16
empty,astar,0.0009500980377197266,6.464101615137754,20,"(17, 7, 5)","(12, 5, 3)",17
empty,astar,0.0009391307830810547,6.464101615137754,20,"(17, 7, 5)","(12, 5, 3)",17
empty,astar,0.0010652542114257812,6.464101615137754,20,"(17, 7, 5)","(12, 5, 3)",17
empty,astar,0.0009410381317138672,6.464101615137754,20,"(17, 7, 5)","(12, 5, 3)",17
empty,astar,0.0009336471557617188,6.464101615137754,20,"(17, 7, 5)","(12, 5, 3)",17
empty,astar,0.000919342041015625,6.464101615137754,20,"(17, 7, 5)","(12, 5, 3)",17
empty,astar,0.0010616779327392578,6.464101615137754,20,"(17, 7, 5)","(12, 5, 3)",17
empty,astar,0.000934600830078125,6.464101615137754,20,"(17, 7, 5)","(12, 5, 3)",17
empty,astar,0.0009336471557617188,6.464101615137754,20,"(17, 7, 5)","(12, 5, 3)",17
empty,astar,0.0009467601776123047,6.464101615137754,20,"(17, 7, 5)","(12, 5, 3)",17
empty,astar,0.0009305477142333984,7.292528739883944,17,"(6, 2, 8)","(11, 4, 4)",18
empty,astar,0.0008001327514648438,7.292528739883944,17,"(6, 2, 8)","(11, 4, 4)",18
empty,astar,0.0008025169372558594,7.292528739883944,17,"(6, 2, 8)","(11, 4, 4)",18
empty,astar,0.0008118152618408203,7.292528739883944,17,"(6, 2, 8)","(11, 4, 4)",18
empty,astar,0.0009362697601318359,7.292528739883944,17,"(6, 2, 8)","(11, 4, 4)",18
empty,astar,0.0008065700531005859,7.292528739883944,17,"(6, 2, 8)","(11, 4, 4)",18
empty,astar,0.0008015632629394531,7.292528739883944,17,"(6, 2, 8)","(11, 4, 4)",18
empty,astar,0.0008149147033691406,7.292528739883944,17,"(6, 2, 8)","(11, 4, 4)",18
empty,astar,0.03626561164855957,7.292528739883944,17,"(6, 2, 8)","(11, 4, 4)",18
